Provincia,Banderas,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/03/2020
GUAYAS,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Bandera_Provincia_Guayas.svg/180px-Bandera_Provincia_Guayas.svg.png,7,11,19,37,84,128,188,273,397,607,769,826,885,1000,1202,1345,1377,1397,1615,1941,2243,2388
PICHINCHA,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Bandera_Provincia_Pichincha.svg/180px-Bandera_Provincia_Pichincha.svg.png,4,4,6,8,7,12,16,32,50,60,65,72,108,121,137,171,188,191,219,248,259,285
AZUAY,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Bandera_Provincia_Azuay.svg/180px-Bandera_Provincia_Azuay.svg.png,0,1,1,1,5,5,14,14,19,19,23,28,31,37,42,42,53,57,78,94,99,99
LOS RIOS,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Bandera_de_Los_R%C3%ADos.svg/180px-Bandera_de_Los_R%C3%ADos.svg.png,11,11,10,10,10,10,16,18,22,25,28,37,40,52,58,60,60,60,80,100,131,138
MANABI,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Bandera_Provincia_Manab%C3%AD.svg/180px-Bandera_Provincia_Manab%C3%AD.svg.png,0,0,0,1,2,8,7,7,9,25,27,32,38,38,40,44,50,50,54,56,61,67
CAÑAR,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Bandera_Provincia_Ca%C3%B1ar.svg/180px-Bandera_Provincia_Ca%C3%B1ar.svg.png,0,0,0,0,0,0,3,3,3,4,5,7,12,15,16,19,26,28,39,49,53,56
EL ORO,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Bandera_Provincia_El_Oro.svg/180px-Bandera_Provincia_El_Oro.svg.png,0,0,0,1,1,1,1,2,2,6,9,14,17,20,21,23,25,30,34,52,56,56
SUCUMBIOS,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Bandera_Provincia_Sucumb%C3%ADos.svg/180px-Bandera_Provincia_Sucumb%C3%ADos.svg.png,1,1,1,1,1,1,2,2,3,6,6,6,6,18,18,18,25,25,27,27,27,27
MORONA SANTIAGO,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Bandera_Provincia_Morona_Santiago.svg/180px-Bandera_Provincia_Morona_Santiago.svg.png,0,0,0,1,1,1,3,3,3,3,6,6,7,8,8,8,9,10,10,10,10,10
SANTO DOMINGO,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Bandera_Provincia_Santo_Domingo_de_los_Ts%C3%A1chilas.svg/180px-Bandera_Provincia_Santo_Domingo_de_los_Ts%C3%A1chilas.svg.png,0,0,0,0,0,0,1,1,4,4,7,7,7,8,9,15,15,15,18,19,24,26
CHIMBORAZO,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Bandera_Provincia_Chimborazo.svg/180px-Bandera_Provincia_Chimborazo.svg.png,0,0,0,0,0,0,2,3,4,9,9,11,11,11,11,15,15,15,17,18,24,25
IMBABURA,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Bandera_Provincia_Imbabura.svg/180px-Bandera_Provincia_Imbabura.svg.png,0,0,0,0,0,0,1,2,3,4,4,4,8,8,9,9,9,9,10,15,16,18
LOJA,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Bandera_Provincia_Loja.svg/180px-Bandera_Provincia_Loja.svg.png,0,0,0,0,0,0,4,4,5,5,5,7,8,9,12,13,15,21,22,27,27,27
SANTA ELENA,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Santa_Elena_flag.png/180px-Santa_Elena_flag.png,0,0,0,0,0,0,0,1,1,2,4,6,6,7,10,10,10,10,17,30,44,48
BOLIVAR,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Bandera_Provincia_Bol%C3%ADvar.svg/180px-Bandera_Provincia_Bol%C3%ADvar.svg.png,0,0,0,0,0,2,2,2,5,8,9,9,11,11,12,14,14,14,15,20,26,26
ESMERALDAS,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Bandera_Provincia_Esmeraldas.svg/180px-Bandera_Provincia_Esmeraldas.svg.png,0,0,0,0,0,0,0,0,2,2,3,3,4,4,4,4,7,7,10,10,11,14
TUNGURAHUA,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Bandera_Provincia_Tungurahua.svg/180px-Bandera_Provincia_Tungurahua.svg.png,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,4,4,4,9,10,12,13
COTOPAXI,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Bandera_Provincia_Cotopaxi.svg/180px-Bandera_Provincia_Cotopaxi.svg.png,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,5,5,5,8,10,12,13
CARCHI,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Bandera_Provincia_Carchi.svg/180px-Bandera_Provincia_Carchi.svg.png,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,5,6,6,6,6,7,9
PASTAZA ,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Bandera_Provincia_Pastaza.svg/180px-Bandera_Provincia_Pastaza.svg.png,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,5,5,5,5,7,9
ZAMORA CHINCHIPE,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Bandera_Provincia_Zamora_Chinchipe.svg/180px-Bandera_Provincia_Zamora_Chinchipe.svg.png,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2
GALAPAGOS,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Bandera_Provincia_Gal%C3%A1pagos.svg/180px-Bandera_Provincia_Gal%C3%A1pagos.svg.png,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,5,7,10,10
